Item,Company,Type,PriceSource,Price,WeightGrams,DiameterInches,HorizontalPixels,VerticalPixels,BrightnessNits,Model,DataSource01,SampleDate,DataSource02,AmazonName
LG G 3 ,LG,smartphone,http://www.amazon.com/LG-G3-Metallic-Black-32GB/dp/B00L9OVC94,579.99,149,5.5,1440,2560,289,B00L9OVC94,http://www.phonearena.com/phones/LG-G3_id8347,08/08/14,,B00L9OVC94
Surface Pro 3,Microsoft ,tablet,http://www.amazon.com/Microsoft-Surface-Pro-4GB-128GB/dp/B00KHR4T8U,953.89,1088.62,12,2160,1440,371,MQ2-00001,http://www.microsoft.com/surface/en-us/products/surface-pro-3,08/13/14,http://gadgets.ndtv.com/tablets/news/microsoft-surface-pro-3-display-receives-stellar-rating-from-displaymate-568689,B00KHR4T8U
Moto G,Motorola ,smartphone,http://www.amazon.com/Motorola-Moto-Global-Unlocked-Black/dp/B00GWR373M,196.91,143,4.5,720,1280,455,B00GWR373M,http://www.phonearena.com/phones/Motorola-Moto-G_id8208,08/08/14,,B00GWR373M
Nokia Lumia 1520,Nokia ,smartphone,http://www.amazon.com/Nokia-1520-Unlocked-International-warranty/dp/B00H2BJ7WC,512.87,209,6,1080,1920,600,B00H2BJ7WC,http://www.phonearena.com/phones/Nokia-Lumia-1520_id8109,08/08/14,,B00H2BJ7WC
Nokia Lumia 2520,Nokia ,smartphone,http://www.amazon.com/Nokia-Lumia-2520-10-1-Inch-Wireless/dp/B00GJ3H5PK,429.99,615,10.1,1920,1080,650,B00GJ3H5PK,http://www.phonearena.com/phones/Nokia-Lumia-2520_id8188,08/08/14,,B00GJ3H5PK
Samsung ATIV Book 9 (2014 Edition),Samsung,laptop,http://www.amazon.com/Samsung-Edition-15-6-Inch-Touchscreen-Mineral/dp/B00J49ZH56,1899,2013.95,15.6,1920,1080,279,NP940X5J-K02US,http://www.laptopmag.com/reviews/laptops/samsung-ativ-book-9-2014.aspx,07/31/14,,B00J49ZH56
Samsung Galaxy S5,Samsung,smartphone,http://www.amazon.com/Samsung-SM-G900H-Factory-Unlocked-International/dp/B00J4TK4B8,588.99,144.583,5.1,1920,1080,698,SKU: 6234A,http://www.phonearena.com/news/Samsung-details-its-new-Galaxy-S5-display-the-brightest-most-efficient-OLED-screen-to-date-can-hit-698-nits_id54767,08/01/14,,B00J4TK4B8
Samsung Gear 2 ,Samsung,Smartwatch ,http://www.amazon.com/Samsung-Gear-Smartwatch-Silver-Black/dp/B00JBJ3HQ0,299.99,68,1.63,320,320,415,SM-R3800MOAXAR,http://www.theinquirer.net/inquirer/review/2345100/samsung-gear-2-smartwatch-review,07/11/14,http://www.displaymate.com/Smart_Watch_ShootOut_1.htm,B00JBJ3HQ0
Samsung Galaxy Tab Pro 8.4,Samsung,tablet,http://www.amazon.com/Samsung-Galaxy-8-4-Inch-Tablet-White/dp/B00HWMPRNY,329,334,8.4,1600,2560,410,SM-T320NZWAXAR,http://www.samsung.com/us/mobile/galaxy-tab/SM-T320NZWAXAR,06/10/14,http://www.phonearena.com/reviews/Samsung-Galaxy-Tab-PRO-8.4-Review_id3588,B00HWMPRNY
Samsung Galaxy Note 10.1,Samsung,tablet,http://www.amazon.com/Samsung-Galaxy-Note-10-1-White/dp/B008M4K5MY,399,594.2,10.1,2560,1600,430,SM-P6000ZKYXAR,http://www.samsung.com/global/microsite/2014galaxynote10.1/specification.html,06/11/14,http://www.phonearena.com/reviews/Samsung-Galaxy-Note-10.1-2014-vs-Apple-iPad-4_id3445,B008M4K5MY
Samsung Galaxy Tab S 10.5,Samsung,tablet,http://www.amazon.com/Samsung-Galaxy-10-5-Inch-Tablet-Titanium/dp/B00KHA5G6G,497.99,467,10.5,2560,1600,395,SM-T800NTSAXAR,http://www.phonearena.com/reviews/Samsung-Galaxy-Tab-S-10.5-Review_id3738,08/07/14,,B00KHA5G6G
Samsung CromeBook 2,Samsung,laptop,http://www.amazon.com/Samsung-Chromebook-13-Inch-Luminous-Titan/dp/B00J49ZH1U,399.99,1401.6,13.3,1920,1080,214,XE503C32-K01US,http://www.laptopmag.com/reviews/laptops/samsung-chromebook-2.aspx,07/31/14,,B00J49ZH1U
Samsung Galaxy Note 3,Samsung,smartphone,http://www.amazon.com/Samsung-Galaxy-Note-Verizon-Wireless/dp/B00F2SKPIM,599.99,168,5.7,1920,1080,660,SM-N900AZKEATT,http://www.phonearena.com/news/Samsung-Galaxy-Note-3-display-ranks-on-par-with-the-best-AMOLED-hugely-improved_id47877,08/04/14,http://www.t-mobile.com/cell-phones/samsung-galaxy-note-3.html,B00F2SKPIM
Sharp 32” 4k Ultra HD Monitor,Sharp,desktop monitor,http://www.amazon.com/PNK321-3840-2160-800-LED-Backlit/dp/B00C49R198,3058.58,7484.27,32,3840,2160,350,PNK321 ,https://www.sharpusa.com/ForBusiness/PresentationProducts/ProfessionalLCDMonitors/PNK321.aspx,06/10/14,https://www.sharpusa.com/ForBusiness/PresentationProducts/ProfessionalLCDMonitors/PNK321.aspx,B00C49R198
VAIO Fit Notebook,Sony,laptop,http://www.amazon.com/Sony-SVF15A1BCXS-15-5-Inch-Touchscreen-Laptop/dp/B00FPILVWI,1049.5,2599,15.5,1920,1080,300,SVF15A1BCXS,http://www.bestbuy.com/site/sony-15-5-vaio-fit-notebook-8-gb-memory/1311251372.p?id=mp1311251372&skuId=1311251372&st=categoryid$pcmcat247400050000&cp=1&lp=5#tab=buyingOptions,,http://www.mobiletechreview.com/notebooks/Sony-Vaio-Flip-13.htm,B00FPILVWI
Sony VAIO Flip 14,Sony,laptop,http://www.amazon.com/Sony-Vaio-Laptop-500GB-SVF14N13CXB/dp/B00HNYSLN4,1099.99,1960,14,2440,1620,330,SVF14N13CXB,http://www.notebookcheck.net/Sony-Vaio-Flip-14A-SVF14N13CXB-Convertible-Review.117055.0.html,08/01/14,,B00HNYSLN4
Sony Xperia Z2,Sony,smartphone,http://www.amazon.com/Sony-FACTORY-UNLOCKED-International-Verison/dp/B00JB27PJW,559.39,163,5.2,1080,1920,460,B00J99NFZK,http://www.phonearena.com/phones/Sony-Xperia-Z2_id8323,08/08/14,,B00JB27PJW
Sony SmartWatch 2,Sony,Smartwatch ,http://www.amazon.com/Sony-Smart-Watch-Android-Phones/dp/B00FB2XNCE,144,122.5,1.6,220,176,495,1275-2741,http://www.displaymate.com/Smart_Watch_ShootOut_1.htm,08/01/14,http://www.displaymate.com/Smart_Watch_ShootOut_1.htm,B00FB2XNCE
Vaio Duo 13,Sony,laptop,http://www.amazon.com/Sony-SVD13225PXW-13-3-Inch-Convertible-Touchscreen/dp/B00FB45WTE/ref=dp_ob_title_ce,1899.99,1329,13.3,1920,1080,265,SVD13225PXB,http://www.mobiletechreview.com/notebooks/Sony-Vaio-Duo-13.htm,07/11/14,,B00FB45WTE
